essay_id,essay_text,sentence_tokens,word_tokens,avg_sentence_length,avg_word_length,lexical_richness,grammar_score,coherence_score,content_relevance_score,final_score
1,Education equips students with knowledge and critical thinking skills. It also fosters creativity and problem-solving abilities. Education equips students with knowledge and critical thinking skills. It also fosters creativity and problem-solving abilities.,"['Education equips students with knowledge and critical thinking skills.', 'It also fosters creativity and problem-solving abilities.', 'Education equips students with knowledge and critical thinking skills.', 'It also fosters creativity and problem-solving abilities.']","['Education', 'equips', 'students', 'with', 'knowledge', 'and', 'critical', 'thinking', 'skills', '.', 'It', 'also', 'fosters', 'creativity', 'and', 'problem-solving', 'abilities', '.', 'Education', 'equips', 'students', 'with', 'knowledge', 'and', 'critical', 'thinking', 'skills', '.', 'It', 'also', 'fosters', 'creativity', 'and', 'problem-solving', 'abilities', '.']",9.0,6.4,0.3888888888888889,6.94,6.9,7.1,6.98
2,"Reading daily improves vocabulary, comprehension, and analytical thinking. It contributes to overall academic performance. Education equips students with knowledge and critical thinking skills. It also fosters creativity and problem-solving abilities. Reading daily improves vocabulary, comprehension, and analytical thinking. It contributes to overall academic performance. Water pollution affects both human health and the environment. Sustainable practices are essential to preserve natural resources.","['Reading daily improves vocabulary, comprehension, and analytical thinking.', 'It contributes to overall academic performance.', 'Education equips students with knowledge and critical thinking skills.', 'It also fosters creativity and problem-solving abilities.', 'Reading daily improves vocabulary, comprehension, and analytical thinking.', 'It contributes to overall academic performance.', 'Water pollution affects both human health and the environment.', 'Sustainable practices are essential to preserve natural resources.']","['Reading', 'daily', 'improves', 'vocabulary', ',', 'comprehension', ',', 'and', 'analytical', 'thinking', '.', 'It', 'contributes', 'to', 'overall', 'academic', 'performance', '.', 'Education', 'equips', 'students', 'with', 'knowledge', 'and', 'critical', 'thinking', 'skills', '.', 'It', 'also', 'fosters', 'creativity', 'and', 'problem-solving', 'abilities', '.', 'Reading', 'daily', 'improves', 'vocabulary', ',', 'comprehension', ',', 'and', 'analytical', 'thinking', '.', 'It', 'contributes', 'to', 'overall', 'academic', 'performance', '.', 'Water', 'pollution', 'affects', 'both', 'human', 'health', 'and', 'the', 'environment', '.', 'Sustainable', 'practices', 'are', 'essential', 'to', 'preserve', 'natural', 'resources', '.']",9.125,6.95,0.547945205479452,7.73,8.56,5.89,7.43
3,"Reading daily improves vocabulary, comprehension, and analytical thinking. It contributes to overall academic performance. Artificial intelligence is transforming education. Personalized learning systems help students progress at their own pace. Climate change is one of the most urgent global challenges. Immediate action from governments and communities is required. Reading daily improves vocabulary, comprehension, and analytical thinking. It contributes to overall academic performance.","['Reading daily improves vocabulary, comprehension, and analytical thinking.', 'It contributes to overall academic performance.', 'Artificial intelligence is transforming education.', 'Personalized learning systems help students progress at their own pace.', 'Climate change is one of the most urgent global challenges.', 'Immediate action from governments and communities is required.', 'Reading daily improves vocabulary, comprehension, and analytical thinking.', 'It contributes to overall academic performance.']","['Reading', 'daily', 'improves', 'vocabulary', ',', 'comprehension', ',', 'and', 'analytical', 'thinking', '.', 'It', 'contributes', 'to', 'overall', 'academic', 'performance', '.', 'Artificial', 'intelligence', 'is', 'transforming', 'education', '.', 'Personalized', 'learning', 'systems', 'help', 'students', 'progress', 'at', 'their', 'own', 'pace', '.', 'Climate', 'change', 'is', 'one', 'of', 'the', 'most', 'urgent', 'global', 'challenges', '.', 'Immediate', 'action', 'from', 'governments', 'and', 'communities', 'is', 'required', '.', 'Reading', 'daily', 'improves', 'vocabulary', ',', 'comprehension', ',', 'and', 'analytical', 'thinking', '.', 'It', 'contributes', 'to', 'overall', 'academic', 'performance', '.']",9.125,6.868852459016393,0.6027397260273972,5.16,6.45,5.48,5.64
4,Water pollution affects both human health and the environment. Sustainable practices are essential to preserve natural resources. Water pollution affects both human health and the environment. Sustainable practices are essential to preserve natural resources.,"['Water pollution affects both human health and the environment.', 'Sustainable practices are essential to preserve natural resources.', 'Water pollution affects both human health and the environment.', 'Sustainable practices are essential to preserve natural resources.']","['Water', 'pollution', 'affects', 'both', 'human', 'health', 'and', 'the', 'environment', '.', 'Sustainable', 'practices', 'are', 'essential', 'to', 'preserve', 'natural', 'resources', '.', 'Water', 'pollution', 'affects', 'both', 'human', 'health', 'and', 'the', 'environment', '.', 'Sustainable', 'practices', 'are', 'essential', 'to', 'preserve', 'natural', 'resources', '.']",9.5,6.529411764705882,0.4473684210526316,8.82,7.37,9.77,8.67
5,Artificial intelligence is transforming education. Personalized learning systems help students progress at their own pace. Water pollution affects both human health and the environment. Sustainable practices are essential to preserve natural resources. Artificial intelligence is transforming education. Personalized learning systems help students progress at their own pace.,"['Artificial intelligence is transforming education.', 'Personalized learning systems help students progress at their own pace.', 'Water pollution affects both human health and the environment.', 'Sustainable practices are essential to preserve natural resources.', 'Artificial intelligence is transforming education.', 'Personalized learning systems help students progress at their own pace.']","['Artificial', 'intelligence', 'is', 'transforming', 'education', '.', 'Personalized', 'learning', 'systems', 'help', 'students', 'progress', 'at', 'their', 'own', 'pace', '.', 'Water', 'pollution', 'affects', 'both', 'human', 'health', 'and', 'the', 'environment', '.', 'Sustainable', 'practices', 'are', 'essential', 'to', 'preserve', 'natural', 'resources', '.', 'Artificial', 'intelligence', 'is', 'transforming', 'education', '.', 'Personalized', 'learning', 'systems', 'help', 'students', 'progress', 'at', 'their', 'own', 'pace', '.']",8.833333333333334,6.872340425531915,0.6037735849056604,5.58,7.51,5.07,6.01
6,"Reading daily improves vocabulary, comprehension, and analytical thinking. It contributes to overall academic performance. Water pollution affects both human health and the environment. Sustainable practices are essential to preserve natural resources. Artificial intelligence is transforming education. Personalized learning systems help students progress at their own pace.","['Reading daily improves vocabulary, comprehension, and analytical thinking.', 'It contributes to overall academic performance.', 'Water pollution affects both human health and the environment.', 'Sustainable practices are essential to preserve natural resources.', 'Artificial intelligence is transforming education.', 'Personalized learning systems help students progress at their own pace.']","['Reading', 'daily', 'improves', 'vocabulary', ',', 'comprehension', ',', 'and', 'analytical', 'thinking', '.', 'It', 'contributes', 'to', 'overall', 'academic', 'performance', '.', 'Water', 'pollution', 'affects', 'both', 'human', 'health', 'and', 'the', 'environment', '.', 'Sustainable', 'practices', 'are', 'essential', 'to', 'preserve', 'natural', 'resources', '.', 'Artificial', 'intelligence', 'is', 'transforming', 'education', '.', 'Personalized', 'learning', 'systems', 'help', 'students', 'progress', 'at', 'their', 'own', 'pace', '.']",9.0,7.0,0.8148148148148148,9.9,8.34,6.04,8.27
7,Water pollution affects both human health and the environment. Sustainable practices are essential to preserve natural resources. Water pollution affects both human health and the environment. Sustainable practices are essential to preserve natural resources.,"['Water pollution affects both human health and the environment.', 'Sustainable practices are essential to preserve natural resources.', 'Water pollution affects both human health and the environment.', 'Sustainable practices are essential to preserve natural resources.']","['Water', 'pollution', 'affects', 'both', 'human', 'health', 'and', 'the', 'environment', '.', 'Sustainable', 'practices', 'are', 'essential', 'to', 'preserve', 'natural', 'resources', '.', 'Water', 'pollution', 'affects', 'both', 'human', 'health', 'and', 'the', 'environment', '.', 'Sustainable', 'practices', 'are', 'essential', 'to', 'preserve', 'natural', 'resources', '.']",9.5,6.529411764705882,0.4473684210526316,6.86,6.03,7.39,6.77
8,Artificial intelligence is transforming education. Personalized learning systems help students progress at their own pace. Education equips students with knowledge and critical thinking skills. It also fosters creativity and problem-solving abilities.,"['Artificial intelligence is transforming education.', 'Personalized learning systems help students progress at their own pace.', 'Education equips students with knowledge and critical thinking skills.', 'It also fosters creativity and problem-solving abilities.']","['Artificial', 'intelligence', 'is', 'transforming', 'education', '.', 'Personalized', 'learning', 'systems', 'help', 'students', 'progress', 'at', 'their', 'own', 'pace', '.', 'Education', 'equips', 'students', 'with', 'knowledge', 'and', 'critical', 'thinking', 'skills', '.', 'It', 'also', 'fosters', 'creativity', 'and', 'problem-solving', 'abilities', '.']",8.75,6.733333333333333,0.7714285714285715,6.28,5.35,8.75,6.74
9,"Reading daily improves vocabulary, comprehension, and analytical thinking. It contributes to overall academic performance. Climate change is one of the most urgent global challenges. Immediate action from governments and communities is required. Climate change is one of the most urgent global challenges. Immediate action from governments and communities is required. Education equips students with knowledge and critical thinking skills. It also fosters creativity and problem-solving abilities.","['Reading daily improves vocabulary, comprehension, and analytical thinking.', 'It contributes to overall academic performance.', 'Climate change is one of the most urgent global challenges.', 'Immediate action from governments and communities is required.', 'Climate change is one of the most urgent global challenges.', 'Immediate action from governments and communities is required.', 'Education equips students with knowledge and critical thinking skills.', 'It also fosters creativity and problem-solving abilities.']","['Reading', 'daily', 'improves', 'vocabulary', ',', 'comprehension', ',', 'and', 'analytical', 'thinking', '.', 'It', 'contributes', 'to', 'overall', 'academic', 'performance', '.', 'Climate', 'change', 'is', 'one', 'of', 'the', 'most', 'urgent', 'global', 'challenges', '.', 'Immediate', 'action', 'from', 'governments', 'and', 'communities', 'is', 'required', '.', 'Climate', 'change', 'is', 'one', 'of', 'the', 'most', 'urgent', 'global', 'challenges', '.', 'Immediate', 'action', 'from', 'governments', 'and', 'communities', 'is', 'required', '.', 'Education', 'equips', 'students', 'with', 'knowledge', 'and', 'critical', 'thinking', 'skills', '.', 'It', 'also', 'fosters', 'creativity', 'and', 'problem-solving', 'abilities', '.']",9.5,6.2615384615384615,0.5394736842105263,8.59,6.81,8.18,7.93
10,"Climate change is one of the most urgent global challenges. Immediate action from governments and communities is required. Artificial intelligence is transforming education. Personalized learning systems help students progress at their own pace. Reading daily improves vocabulary, comprehension, and analytical thinking. It contributes to overall academic performance. Artificial intelligence is transforming education. Personalized learning systems help students progress at their own pace.","['Climate change is one of the most urgent global challenges.', 'Immediate action from governments and communities is required.', 'Artificial intelligence is transforming education.', 'Personalized learning systems help students progress at their own pace.', 'Reading daily improves vocabulary, comprehension, and analytical thinking.', 'It contributes to overall academic performance.', 'Artificial intelligence is transforming education.', 'Personalized learning systems help students progress at their own pace.']","['Climate', 'change', 'is', 'one', 'of', 'the', 'most', 'urgent', 'global', 'challenges', '.', 'Immediate', 'action', 'from', 'governments', 'and', 'communities', 'is', 'required', '.', 'Artificial', 'intelligence', 'is', 'transforming', 'education', '.', 'Personalized', 'learning', 'systems', 'help', 'students', 'progress', 'at', 'their', 'own', 'pace', '.', 'Reading', 'daily', 'improves', 'vocabulary', ',', 'comprehension', ',', 'and', 'analytical', 'thinking', '.', 'It', 'contributes', 'to', 'overall', 'academic', 'performance', '.', 'Artificial', 'intelligence', 'is', 'transforming', 'education', '.', 'Personalized', 'learning', 'systems', 'help', 'students', 'progress', 'at', 'their', 'own', 'pace', '.']",9.0,6.774193548387097,0.6111111111111112,7.02,8.6,6.96,7.48
